low_res,high_res,daq_nr,misalignment,recording_nr,direction,speed
0.022794,0.24072,5,0.4,1,H,425
0.023183,0.24366,5,0.4,1,H,425
0.023494,0.24621,5,0.4,1,H,425
0.023636,0.24829,5,0.4,1,H,425
0.023936,0.25052,5,0.4,1,H,425
0.024205,0.25254,5,0.4,1,H,425
0.024314,0.2543,5,0.4,1,H,425
0.024561,0.25618,5,0.4,1,H,425
0.024917,0.25756,5,0.4,1,H,425
0.025164,0.25915,5,0.4,1,H,425
0.02528,0.2607,5,0.4,1,H,425
0.025501,0.26166,5,0.4,1,H,425
0.02574,0.26288,5,0.4,1,H,425
0.025905,0.26402,5,0.4,1,H,425
0.026167,0.26521,5,0.4,1,H,425
0.026261,0.26625,5,0.4,1,H,425
0.02644,0.26715,5,0.4,1,H,425
0.026627,0.26817,5,0.4,1,H,425
0.026541,0.26917,5,0.4,1,H,425
0.026912,0.27008,5,0.4,1,H,425
0.027185,0.27081,5,0.4,1,H,425
0.027298,0.272,5,0.4,1,H,425
0.027582,0.27309,5,0.4,1,H,425
0.027657,0.27387,5,0.4,1,H,425
0.027818,0.27465,5,0.4,1,H,425
0.027964,0.27559,5,0.4,1,H,425
0.02817,0.27643,5,0.4,1,H,425
0.028428,0.2769,5,0.4,1,H,425
0.028495,0.27763,5,0.4,1,H,425
0.028544,0.27823,5,0.4,1,H,425
0.028589,0.27854,5,0.4,1,H,425
0.028784,0.2786,5,0.4,1,H,425
0.028832,0.27853,5,0.4,1,H,425
0.028728,0.27842,5,0.4,1,H,425
0.028892,0.27786,5,0.4,1,H,425
0.028945,0.27709,5,0.4,1,H,425
0.028982,0.27623,5,0.4,1,H,425
0.02884,0.27516,5,0.4,1,H,425
0.028533,0.27374,5,0.4,1,H,425
0.028492,0.27204,5,0.4,1,H,425
0.028207,0.26998,5,0.4,1,H,425
0.027945,0.26762,5,0.4,1,H,425
0.027915,0.26527,5,0.4,1,H,425
0.027683,0.26252,5,0.4,1,H,425
0.027283,0.25934,5,0.4,1,H,425
0.02677,0.25613,5,0.4,1,H,425
0.026313,0.25273,5,0.4,1,H,425
0.025939,0.24891,5,0.4,1,H,425
0.025684,0.24488,5,0.4,1,H,425
0.025336,0.24056,5,0.4,1,H,425
0.024793,0.23595,5,0.4,1,H,425
0.02428,0.23128,5,0.4,1,H,425
0.02367,0.22633,5,0.4,1,H,425
0.023228,0.2211,5,0.4,1,H,425
0.022584,0.21579,5,0.4,1,H,425
0.021705,0.21032,5,0.4,1,H,425
0.021203,0.20454,5,0.4,1,H,425
0.020649,0.1985,5,0.4,1,H,425
0.020042,0.19236,5,0.4,1,H,425
0.019275,0.18588,5,0.4,1,H,425
0.018534,0.17937,5,0.4,1,H,425
0.018077,0.17272,5,0.4,1,H,425
0.017313,0.16567,5,0.4,1,H,425
0.016613,0.15874,5,0.4,1,H,425
0.015835,0.1517,5,0.4,1,H,425
0.015011,0.14461,5,0.4,1,H,425
0.014363,0.13739,5,0.4,1,H,425
0.013596,0.1303,5,0.4,1,H,425
0.012937,0.12353,5,0.4,1,H,425
0.01214,0.11626,5,0.4,1,H,425
0.011496,0.10914,5,0.4,1,H,425
0.01074,0.10232,5,0.4,1,H,425
0.0097962,0.095541,5,0.4,1,H,425
0.0093133,0.088871,5,0.4,1,H,425
0.0087555,0.082114,5,0.4,1,H,425
0.0079506,0.075687,5,0.4,1,H,425
0.007112,0.069304,5,0.4,1,H,425
0.0065205,0.062742,5,0.4,1,H,425
0.0060488,0.056539,5,0.4,1,H,425
0.0053975,0.050534,5,0.4,1,H,425
0.0047536,0.04445,5,0.4,1,H,425
0.0042032,0.038572,5,0.4,1,H,425
0.0036454,0.03278,5,0.4,1,H,425
0.0030165,0.026984,5,0.4,1,H,425
0.0025823,0.021386,5,0.4,1,H,425
0.0020806,0.01584,5,0.4,1,H,425
