low_res,high_res,daq_nr,misalignment,recording_nr,direction,speed
-0.014754,-0.14793,7,-0.1,7,V,750
-0.015443,-0.15465,7,-0.1,7,V,750
-0.016199,-0.16137,7,-0.1,7,V,750
-0.016795,-0.16793,7,-0.1,7,V,750
-0.017483,-0.17411,7,-0.1,7,V,750
-0.018165,-0.18026,7,-0.1,7,V,750
-0.018651,-0.18612,7,-0.1,7,V,750
-0.019288,-0.19161,7,-0.1,7,V,750
-0.019827,-0.19701,7,-0.1,7,V,750
-0.020374,-0.20201,7,-0.1,7,V,750
-0.021167,-0.20718,7,-0.1,7,V,750
-0.021721,-0.2118,7,-0.1,7,V,750
-0.022047,-0.21584,7,-0.1,7,V,750
-0.022582,-0.21985,7,-0.1,7,V,750
-0.022927,-0.22323,7,-0.1,7,V,750
-0.023267,-0.22642,7,-0.1,7,V,750
-0.02363,-0.22943,7,-0.1,7,V,750
-0.023945,-0.23208,7,-0.1,7,V,750
-0.024342,-0.23441,7,-0.1,7,V,750
-0.024323,-0.23652,7,-0.1,7,V,750
-0.02463,-0.23875,7,-0.1,7,V,750
-0.025165,-0.24071,7,-0.1,7,V,750
-0.025195,-0.24244,7,-0.1,7,V,750
-0.02533,-0.24438,7,-0.1,7,V,750
-0.025648,-0.24589,7,-0.1,7,V,750
-0.025731,-0.24723,7,-0.1,7,V,750
-0.025914,-0.24877,7,-0.1,7,V,750
-0.026251,-0.24982,7,-0.1,7,V,750
-0.026326,-0.25077,7,-0.1,7,V,750
-0.026303,-0.25174,7,-0.1,7,V,750
-0.026446,-0.25251,7,-0.1,7,V,750
-0.026749,-0.25346,7,-0.1,7,V,750
-0.026917,-0.25449,7,-0.1,7,V,750
-0.027015,-0.25535,7,-0.1,7,V,750
-0.027221,-0.25627,7,-0.1,7,V,750
-0.027419,-0.2573,7,-0.1,7,V,750
-0.027569,-0.25832,7,-0.1,7,V,750
-0.027689,-0.25943,7,-0.1,7,V,750
-0.028007,-0.2604,7,-0.1,7,V,750
-0.028085,-0.26121,7,-0.1,7,V,750
-0.02822,-0.26205,7,-0.1,7,V,750
-0.02849,-0.26284,7,-0.1,7,V,750
-0.028366,-0.26354,7,-0.1,7,V,750
-0.028579,-0.26394,7,-0.1,7,V,750
-0.028636,-0.26431,7,-0.1,7,V,750
-0.028759,-0.26477,7,-0.1,7,V,750
-0.02922,-0.26489,7,-0.1,7,V,750
-0.029025,-0.26477,7,-0.1,7,V,750
-0.028954,-0.26458,7,-0.1,7,V,750
-0.029006,-0.26426,7,-0.1,7,V,750
-0.02901,-0.26354,7,-0.1,7,V,750
-0.029006,-0.26265,7,-0.1,7,V,750
-0.028894,-0.26168,7,-0.1,7,V,750
-0.028857,-0.26034,7,-0.1,7,V,750
-0.028482,-0.25858,7,-0.1,7,V,750
-0.028433,-0.25641,7,-0.1,7,V,750
-0.028273,-0.25437,7,-0.1,7,V,750
-0.027763,-0.2522,7,-0.1,7,V,750
-0.027756,-0.24938,7,-0.1,7,V,750
-0.027483,-0.24676,7,-0.1,7,V,750
-0.027108,-0.24406,7,-0.1,7,V,750
-0.026801,-0.24082,7,-0.1,7,V,750
-0.02633,-0.23757,7,-0.1,7,V,750
-0.026075,-0.23416,7,-0.1,7,V,750
-0.025607,-0.23033,7,-0.1,7,V,750
-0.025177,-0.2264,7,-0.1,7,V,750
-0.024716,-0.22227,7,-0.1,7,V,750
-0.024143,-0.21774,7,-0.1,7,V,750
-0.023791,-0.21327,7,-0.1,7,V,750
-0.02314,-0.20876,7,-0.1,7,V,750
-0.022597,-0.20381,7,-0.1,7,V,750
-0.02214,-0.19871,7,-0.1,7,V,750
-0.021497,-0.1933,7,-0.1,7,V,750
-0.020991,-0.1876,7,-0.1,7,V,750
-0.020396,-0.18194,7,-0.1,7,V,750
-0.019662,-0.17587,7,-0.1,7,V,750
-0.019007,-0.16966,7,-0.1,7,V,750
-0.018464,-0.16358,7,-0.1,7,V,750
-0.017817,-0.15718,7,-0.1,7,V,750
-0.017094,-0.15081,7,-0.1,7,V,750
-0.016409,-0.14433,7,-0.1,7,V,750
-0.015709,-0.13778,7,-0.1,7,V,750
-0.015043,-0.13137,7,-0.1,7,V,750
-0.014343,-0.12444,7,-0.1,7,V,750
-0.013613,-0.11768,7,-0.1,7,V,750
-0.012927,-0.11113,7,-0.1,7,V,750
-0.012209,-0.10445,7,-0.1,7,V,750
-0.011471,-0.097892,7,-0.1,7,V,750
-0.010764,-0.091382,7,-0.1,7,V,750
-0.01018,-0.084985,7,-0.1,7,V,750
-0.0095508,-0.07855,7,-0.1,7,V,750
-0.008832,-0.072541,7,-0.1,7,V,750
-0.0082929,-0.066693,7,-0.1,7,V,750
-0.007649,-0.060605,7,-0.1,7,V,750
-0.0069826,-0.05478,7,-0.1,7,V,750
-0.006496,-0.049081,7,-0.1,7,V,750
-0.0059157,-0.043375,7,-0.1,7,V,750
-0.0053879,-0.037836,7,-0.1,7,V,750
-0.0049761,-0.032351,7,-0.1,7,V,750
-0.0043734,-0.026936,7,-0.1,7,V,750
-0.0037968,-0.021622,7,-0.1,7,V,750
-0.0034225,-0.016398,7,-0.1,7,V,750
-0.0027823,-0.011346,7,-0.1,7,V,750
-0.0022545,-0.0061064,7,-0.1,7,V,750
-0.0020074,-0.00090086,7,-0.1,7,V,750
-0.0013373,0.004215,7,-0.1,7,V,750
-0.00070088,0.0094055,7,-0.1,7,V,750
-0.00042385,0.014656,7,-0.1,7,V,750
-1.9543e-05,0.020003,7,-0.1,7,V,750
0.00062061,0.025044,7,-0.1,7,V,750
0.0011896,0.030429,7,-0.1,7,V,750
0.0016426,0.035982,7,-0.1,7,V,750
0.0022566,0.041588,7,-0.1,7,V,750
0.0028406,0.047563,7,-0.1,7,V,750
0.0033946,0.053228,7,-0.1,7,V,750
0.003915,0.05908,7,-0.1,7,V,750
0.0044316,0.06519,7,-0.1,7,V,750
0.0051579,0.071393,7,-0.1,7,V,750
0.0056857,0.077783,7,-0.1,7,V,750
0.0063334,0.084334,7,-0.1,7,V,750
0.0072094,0.091027,7,-0.1,7,V,750
0.0078046,0.097596,7,-0.1,7,V,750
0.0084635,0.10436,7,-0.1,7,V,750
0.0092346,0.11128,7,-0.1,7,V,750
0.0098748,0.11818,7,-0.1,7,V,750
0.010616,0.1251,7,-0.1,7,V,750
0.011443,0.13208,7,-0.1,7,V,750
0.012027,0.13918,7,-0.1,7,V,750
0.012784,0.14599,7,-0.1,7,V,750
0.013663,0.15264,7,-0.1,7,V,750
0.014229,0.15927,7,-0.1,7,V,750
0.014861,0.16566,7,-0.1,7,V,750
0.015385,0.17186,7,-0.1,7,V,750
0.016007,0.17794,7,-0.1,7,V,750
0.016714,0.1839,7,-0.1,7,V,750
0.017257,0.18941,7,-0.1,7,V,750
0.018028,0.19497,7,-0.1,7,V,750
0.018545,0.20039,7,-0.1,7,V,750
0.019073,0.20528,7,-0.1,7,V,750
0.019788,0.20988,7,-0.1,7,V,750
0.020099,0.21388,7,-0.1,7,V,750
0.020424,0.2178,7,-0.1,7,V,750
0.020855,0.22135,7,-0.1,7,V,750
0.021166,0.22439,7,-0.1,7,V,750
0.021544,0.22733,7,-0.1,7,V,750
0.021982,0.22982,7,-0.1,7,V,750
0.022255,0.23228,7,-0.1,7,V,750
0.022513,0.23465,7,-0.1,7,V,750
0.022828,0.2369,7,-0.1,7,V,750
0.022955,0.2389,7,-0.1,7,V,750
0.023266,0.2406,7,-0.1,7,V,750
0.023565,0.2424,7,-0.1,7,V,750
0.0237,0.24396,7,-0.1,7,V,750
0.023947,0.24543,7,-0.1,7,V,750
0.02391,0.24695,7,-0.1,7,V,750
0.024007,0.24818,7,-0.1,7,V,750
0.024325,0.2491,7,-0.1,7,V,750
0.024407,0.25011,7,-0.1,7,V,750
0.024565,0.25116,7,-0.1,7,V,750
0.024718,0.25208,7,-0.1,7,V,750
0.024962,0.2531,7,-0.1,7,V,750
0.025197,0.25405,7,-0.1,7,V,750
0.025355,0.2552,7,-0.1,7,V,750
0.025575,0.25651,7,-0.1,7,V,750
0.025549,0.25752,7,-0.1,7,V,750
0.025811,0.25836,7,-0.1,7,V,750
0.026088,0.25927,7,-0.1,7,V,750
